,ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,weekly,weekly_lower,weekly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
53,2023-08-28,249.14619871824414,230.9313837187749,270.4715875872909,249.14619871824414,249.14619871824414,2.075705237806954,2.075705237806954,2.075705237806954,2.075705237806954,2.075705237806954,2.075705237806954,0.0,0.0,0.0,251.22190395605108
54,2023-08-29,248.9463608433532,234.62167746918666,273.89371053587394,248.9463608433532,248.9463608433532,4.5484309229387865,4.5484309229387865,4.5484309229387865,4.5484309229387865,4.5484309229387865,4.5484309229387865,0.0,0.0,0.0,253.494791766292
55,2023-08-30,248.7465229684623,233.0321566976724,273.1120215872864,248.7465229684623,248.7465229684623,3.95856784946315,3.95856784946315,3.95856784946315,3.95856784946315,3.95856784946315,3.95856784946315,0.0,0.0,0.0,252.70509081792545
56,2023-08-31,248.54668509357143,231.32171221908362,271.148209272353,248.54668509357143,248.54668509357143,2.51594546496912,2.51594546496912,2.51594546496912,2.51594546496912,2.51594546496912,2.51594546496912,0.0,0.0,0.0,251.06263055854055
57,2023-09-01,248.34684722045455,230.2167022806123,269.7130816783769,248.34684722045455,248.34684722045455,1.8219639987930099,1.8219639987930099,1.8219639987930099,1.8219639987930099,1.8219639987930099,1.8219639987930099,0.0,0.0,0.0,250.16881121924757
58,2023-09-05,247.5474957279872,231.0847834101409,269.98973379500643,247.5474957279872,247.5474957279872,4.548430922937149,4.548430922937149,4.548430922937149,4.548430922937149,4.548430922937149,4.548430922937149,0.0,0.0,0.0,252.09592665092435
59,2023-09-06,247.3476578548704,232.00657169675875,270.29664477977343,247.3476578548704,247.3476578548704,3.9585678494624204,3.9585678494624204,3.9585678494624204,3.9585678494624204,3.9585678494624204,3.9585678494624204,0.0,0.0,0.0,251.3062257043328
60,2023-09-07,247.14781998175354,229.3194745870754,268.4882929303305,247.14781998175354,247.14781998175354,2.51594546497194,2.51594546497194,2.51594546497194,2.51594546497194,2.51594546497194,2.51594546497194,0.0,0.0,0.0,249.66376544672548
61,2023-09-08,246.94798210863672,228.48960378355747,267.35806763868067,246.94798210863672,246.94798210863672,1.8219639987916758,1.8219639987916758,1.8219639987916758,1.8219639987916758,1.8219639987916758,1.8219639987916758,0.0,0.0,0.0,248.7699461074284
62,2023-09-11,246.3484684892862,228.8988139097232,267.5768072275955,246.3484684892862,246.3484684892862,2.0757052377815044,2.0757052377815044,2.0757052377815044,2.0757052377815044,2.0757052377815044,2.0757052377815044,0.0,0.0,0.0,248.4241737270677
